Patent Number,Title,Unique Identifier,
EP2098484-A1,"Method to grow carbon nanostructures within pores of zeolite crystal after forming the crystal, used in semiconductor device, comprises incorporating organometal complex in pores and performing thermal treatment to grow the nanostructures.",DIIDW:2009N35084,
WO2009113715-A1; US2010298115-A1; JP2010502912-X; US8263516-B2; JP5421899-B2,"Manufacture of structure having zeolite film for osmosis membrane, involves immersing porous substrate in solution having 1-adamantanamine, synthesizing zeolite and forming zeolite film and film-like glass seal contacting film.",DIIDW:2009N69947,
CN109534980-A; CN109534980-B,"Synthesis of cyclopropyl methyl ketone involves uniformly mixing zeolite with concentrated hydrochloric acid, adding alpha-acetyl-gamma-butyrolactone, reacting to obtain oil layer, heating alkaline solution, adding oil layer, and reacting.",DIIDW:201931040L,
KR2015116334-A; KR1595741-B1,"Manufacturing amine-modified zeolite socony mobil-5, useful for carbon dioxide adsorption, comprises adding alumina solution after adding triethylamine and tripropylamine compound in silica solution.",DIIDW:201564402S,
JP2009195815-A,"Catalyst for liquefied petroleum gas manufacture comprises copper-zinc-based methanol synthesis catalyst and palladium carrying (beta)-zeolite which contains palladium, copper, chromium, manganese and/or iron.",DIIDW:2009N14303,
WO200290467-A1; RU2196761-C2; EP1391496-A1; CN1463290-A; AU2002341646-A1; CN1269935-C; EA4130-B1,Production of gasoline from synthesis gas via dimethyl ether synthesis and conversion on a modified high-silica zeolite.,DIIDW:2003030234,
CN105238774-A,"Different kind of fungus floating oil consumption synthesis support comprises specific gravity greater than the proportion of raw materials, water and seawater with specific gravity less than specific gravity of the oil feedstock.",DIIDW:201606666B,
US2023382843-A1; US12275004-B2,"Hybrid copper-zinc oxide-aluminium oxide/ferrierite zeolite catalyst for synthesizing dimethyl ether or methylacetate from synthetic gas, comprises nanosheet ferrierite zeolite, and copper-zinc-aluminium-based oxide supported on nanosheet ferrierite zeolite.",DIIDW:2023C5107K,
WO200296847-A1; EP1392629-A1; AU2002312949-A1; US2004171888-A1; JP2004534043-W; US6872859-B2; IT1324895-B,"Preparation of bisphenol compounds, used for synthesis of polymeric materials, involves condensing carbonyl compound with aromatic compound in presence of zeolite catalyst with specified spaciousness index.",DIIDW:2003129507,
US2010160464-A1; WO2010075516-A2; WO2010075516-A3; AU2009329916-A1; EP2379225-A2; CN102316979-A; BR200922415-A2; EP2379225-A4,"Forming catalyst, comprises impregnating a zeolite extrudate with cobalt using a solution comprising a cobalt salt, and activating obtained impregnated zeolite extrudate by reduction-oxidation-reduction cycle.",DIIDW:2010H16593,
US2011036756-A1; US8906971-B2,"Producing hydrocarbon fuel products from synthesis gas using a single reactor system and a steam reformer, where chemical reactions in the single reactor system occur over an alcohol-forming catalyst.",DIIDW:2011B82366,
US2003228969-A1,"Synthesizing zeolite membranes by providing wet gel precursor sol and support, coating surface of support with wet gel precursor sol, placing coated support in closed vessel and heating closed vessel.",DIIDW:2004154587,
WO2018159947-A1; KR2018100008-A; KR1984862-B1,"Manufacture of zeolite used for concrete block, involves performing hydrothermal synthesis reaction of slurry of geopolymer obtained by mixing alkali activator with mixture of fly ash and slag, at preset temperature and pressure.",DIIDW:201870574Q,
US2022348529-A1; CN115254180-A; KR2022148515-A,"Manufacturing catalyst used for synthesizing dimethyl ether from synthetic gas, involves preparing mesoporous ferrierite zeolite, and co-precipitating precursor with copper-zinc-aluminum-based oxide to obtain hybrid CZA/mesoFER catalyst.",DIIDW:2022D7388R,
KR2022043569-A; KR2459932-B1; US2023278879-A1; US11975981-B2,"Manufacturing zeolite hollow spheres useful as catalyst for hydrocarbon conversion, catalyst supports, adsorbents, ion exchangers and absorbers, comprises preparing carbon sphere and synthesizing zeolite hollow sphere.",DIIDW:2022485256,
WO2019142531-A1; CN111566049-A; US2020306700-A1; DE112018006869-T5; JP2019565757-X; JP6934959-B2; JP2021191577-A; US11305240-B2; CN111566049-B,"Zeolite membrane composite used as gas separation membrane and adsorption membrane, comprises support body and zeolite membrane formed on support body and zeolite membrane is zeolite of SAT type.",DIIDW:201964689L,
US2022347662-A1; CN115254179-A; KR2022148517-A; US11648539-B2,"Preparing catalyst used in gasoline reaction of dimethyl ether, involves reacting silica source, aluminum source, and structural derivative to synthesize zeolite sol, mixing alcohol with organic template to obtain emulsion phase, and adding zeolite sol to emulsion phase to perform reaction.",DIIDW:2022D6860F,
WO200126810-A1; AU200077564-A; NO200201722-A; EP1222027-A1; JP2003511230-W; EP1222027-B1; DE60021273-E; DE60021273-T2,"Formation of a Fischer-Tropsch hydrocarbon synthesis catalyst comprises mixing a carbonate ion precipitant with a solution of metal salt(s), heating to remove carbon dioxide, compositing with zeolite, drying and reducing.",DIIDW:2001281884,
CN107866264-A; CN107866264-B,"Supported modified zeolite molecular sieve catalyst comprises modified zeolite molecular sieve support and supported active component, where modified zeolite molecular sieve support is modified via zeolite molecular sieve.",DIIDW:201827169D,
JP2020089813-A,Fischer tropsch synthesis catalyst structure comprises carrier having porous structure comprises zeolite-type compound and functional substance existing in carrier are provided and carrier contains aluminum and silicon.,DIIDW:2020504572,
CN112973475-A,"Preparing UZM series zeolite molecular sieve membrane useful in membrane separation, catalysts, sensors and membrane reactor field, comprises e.g. placing molecular sieve synthesis liquid in reactor, and carrying out hydrothermal synthesis.",DIIDW:2021722793,
WO200207191-A2; US2002060364-A1; AU200222968-A; US2002134995-A1; US6573131-B2; US6630696-B2; JP2004504716-W; WO200207191-A3,Continuous bimodal silica zeolite film for use as dielectric in semiconductor device has specific pore volume of micropores having specific average pore size.,DIIDW:2002361588,
CN113545300-A,"Sponge cat litter raw material comprises bentonite, bamboo charcoal powder, coffee bean dregs, zeolite powder, sepiolite, attapulgite, resin clay, water-absorbent resin, vegetable binder, chemical synthesis binder, and water.",DIIDW:2021C6638U,
US2023391631-A1,"Zeolite used as adsorbents for carbon dioxide separation, comprises aluminum, silicon, oxygen, hydrogen, sodium, potassium and calcium, where zeolite is prepared by preparing synthesis gel, aging synthesis gel, heating synthesis gel to produce product mixture, and collecting zeolite.",DIIDW:2023C7455M,
KR2022135693-A,"Hydrothermally synthesizing zeolite using structure-inducing material for manufacturing chemotherapy, comprises reacting low molecular weight alkali metal component containing lithium, sodium and/or potassium.",DIIDW:2022C80667,
DE102017122678-A1; US2018093257-A1; WO2018064277-A1; IN201947016227-A; KR2019056421-A; GB2569758-A; BR112019006393-A2; EP3519358-A1; CN110300730-A; JP2020500136-W; US10737252-B2; US2020360906-A1; RU2019112855-A; IN358840-B; RU2746017-C2; US11192096-B2; JP7051830-B2; GB2569758-B; KR2469655-B1; BR112019006393-B1; EP3519358-B1,"Aluminosilicate zeolite useful e.g. in catalyst for treating an exhaust gas comprises phase pure AEI framework, in which the aluminosilicate zeolite has a cuboid morphology.",DIIDW:201825845U,
CN102795639-A,"Utilization of beta zeolite synthetic mother liquid, comprises e.g. recovering mother liquor after zeolite crystallization, adding e.g. silicon and water to prepare gel mixture, crystallizing, and separating into solid and mother liquor.",DIIDW:2013E38122,
WO2023036238-A1; CA3230959-A1; CN117957196-A; KR2024087798-A,"Preparation of zeolite for catalytic reduction of nitrogen oxides, involves preparing synthesis mixture comprising trivalent and tetravalent metal oxide sources, and piperidinium cations as structure directing agent, and crystallizing.",DIIDW:2023287666,
JP2000335916-A,"Synthesis of artificial zeolite using fly ash obtained by ignition of coal in thermal power stations, involves heat processing slag in alkaline solution.",DIIDW:2001608440,
KR2009119125-A; KR996794-B1,Crystalline zeolite manufacturing involves manufacturing zeolite powder of micron-size by hydrothermal synthesis of zeolite precursor aqueous solution.,DIIDW:2009R69421,
WO2010036214-A1; EP2342248-A1,"Producing biomedical grade polyurethane composites containing antibacterial zeolites, comprises synthesizing biomedical grade polyurethane prepolymer from diisocyanate and polyols, synthesizing zeolite and making antibacterial zeolites.",DIIDW:2010D86433,
US2016176779-A1,"Synthesis of aromatic compounds e.g. benzene, toluene and naphthalene used as chemical feedstock or fuel, involves reacting ethane-containing gas directly over zeolite catalyst.",DIIDW:201638233D,
CN110385141-A; CN110385141-B,"Preparing synthesis gas aromatic composite catalyst, involves physically mixing the core-shell iron (II,III) oxide/manganese(IV) oxide and the hollow protonic type zeolite socony mobil-5 zeolite.",DIIDW:201992512Q,
JP2011184573-A; JP5424206-B2,"Manufacture of liquid hydrocarbon for manufacturing isoparaffin, involves performing shift reaction of synthesis gas containing hydrogen and carbon monoxide using Fisher-Tropsch synthesis catalyst containing iron.",DIIDW:2011M09163,
KR2022014489-A; KR2448510-B1,"Manufacturing analsim zeolite with improved heavy metal adsorption ability useful in adsorbent comprises mixing inorganic solid powder containing aluminum oxide, magnesium oxide and waste glass and performing hydrothermal synthesis.",DIIDW:2022230798,
CN105967202-A; CN105967202-B,"Synthesis of ZSM-48 molecular sieve having low silica-alumina ratio comprises e.g. synthesizing beta zeolite using waste liquid as raw materials, then adding organic templating agent, aluminum source, alkali source and post processing.",DIIDW:201664275D,
CN106542540-A; CN106542540-B,"Synthesizing ERS-7 zeolite molecular sieve with linear organic template comprises taking water, silicon source, aluminum sourcealkali source and template agent, stirring crystallizing, filtering and drying.",DIIDW:201722948B,
CN108840789-A; CN108840789-B,"Synthesis of ethylene glycol mono-t-butyl ether used as gasoline additive, involves reacting ethylene glycol and methyl tert-butyl ether under action of catalyst e.g. zeolite, heteropolyacid, acidic ion-exchange resin or molecular sieve.",DIIDW:201895165B,
WO2008095264-A2; WO2008095264-A3; EP2118008-A2; US2010098623-A1,"Preparing zeolite, useful in e.g. catalytic decomposition or rearrangement of organic molecules, and catalytic decomposition of toxic gases, comprises preparing gel/solution comprising silica source, molecular template and organosilane.",DIIDW:2008L72767,
CN118649701-A,"Integral multi-level porous zeolite catalyst used for high-carbon hydrocarbon reforming reaction process, comprises porous block material as skeleton and metal active catalyst loaded with zeolite molecular sieve is distributed inside pores.",DIIDW:2024A1343G,
JP2010150128-A; JP5419042-B2,"Manufacture of RTH type zeolite involves hydrothermally synthesizing water-based mixture containing silica raw material, alkali metal, hetero elements other than oxygen, silicon, alkali metal and alkaline-earth metal element.",DIIDW:2010H85773,
CN111330455-A; CN111330455-B,"Method for preparing MFI zeolite membrane for efficient dehydration of bio-oil, involves preparing synthetic liquid precursor of MFI zeolite membrane, and synthesizing zeolite membrane on surface of support by hydrothermal crystallization.",DIIDW:202061237N,
JP2017030986-A; CN106395850-A; JP6544118-B2; CN106395850-B,"Manufacture of zeolite used in manufacture of (epsilon)-caprolactam, involves mixing e.g. tetraalkyl orthosilicate and water, reacting mixture containing zeolite crystals, baking and contacting crystals with aqueous solution containing acid.",DIIDW:201711102C,
US7029650-B1; WO2006071873-A1; EP1833761-A1; IN200704886-P1; CN101090863-A; JP2008525307-W; ZA200705157-A; JP4688885-B2; GC1100-A; MY140394-A; IN268264-B; EP1833761-A4,"Synthesizing aluminum-silicon-germanium zeolite for making catalyst used in aromatization of alkanes, by combining silica source, germanium source, aluminum source, structure directing agent and water, and introducing acid to adjust pH.",DIIDW:2006303598,
WO2009023202-A2; US2009048095-A1; WO2009023202-A3; EP2192982-A2; US2010143224-A1; CN101827654-A; IN201001190-P1; JP2010536692-W; CN102764590-A; US8512659-B2; US8541331-B2; CN101827654-B; EP2689846-A1; CN102764590-B; JP2015205270-A; IN275488-B; JP6176891-B2,"New iron-containing aluminosilicate zeolite useful for selective catalytic reduction of nitrogen oxides in exhaust gases such as automotive exhaust from stationary source e.g. power generation plant, stationary diesel engine.",DIIDW:2009F14041,
DE19821700-A1; JP11349562-A; US6051706-A; BE1012507-A3,Production of epsilon-caprolactam useful in nylon 6 production.,DIIDW:2000054239,
JP2014139124-A; JP6173196-B2,"Synthesis of zeolite involves preparing slurry, hydrothermally treating slurry, isolating zeolite particle and synthetic mother liquid, refining zeolite particles, and mixing refinement zeolite particles and synthetic mother liquid.",DIIDW:2014N95597,
JP2018164908-A; JP7353017-B2,"Producing porous support-zeolite membrane composite involves forming zeolite membrane on porous support by hydrothermal synthesis, zeolite membrane comprising silicon dioxide/aluminum oxide, immersing zeolite membrane composite.",DIIDW:2018852130,
US2007059238-A1,"Enhancement of yield of molecular sieve zeolite during synthesis from sodium aluminosilicate reaction mixture, involves adding specific source of aluminum and acid to reaction mixture at intermediate crystallization stage.",DIIDW:2007282297,
CN105540606-A; CN105540606-B,Solvent free synthesis of MFI type zeolite comprises taking clay mineral as silicon and aluminum source and steam-assisted solvent-free agent.,DIIDW:201628928Y,
KR2022110691-A; KR2531947-B1,"Catalyst for methane synthesis using carbon dioxide and hydrogen in stoichiometric ratio comprises hygroscopic material, which is chabazite-type zeolite, and active ingredient, where active ingredient comprises nickel, magnesium and iron.",DIIDW:2022A1576C,
BR102014016429-A2,"Obtaining zeolite LPM-2 ,TON type zeolite of titanium silicate used in catalytic oxidation reaction, involves utilizing ionic liquid as structure directing agent , synthesizing crystalline material mixture comprising silica source.",DIIDW:201623127J,
US2007078285-A1; US8957259-B2,"Dimethyl ether production for use in synthesizing chemicals e.g. dimethyl sulfate, by reacting methanol or syngas and hybrid catalyst comprising copper or palladium based methanol synthesis catalyst and dehydration catalyst (e.g. zeolite).",DIIDW:2007342661,
US2023399234-A1; WO2023244652-A1; WO2023244652-A4,"Synthesizing nano-sized zeolite, comprises adding germanium oxide to synthesis gel comprising silica and aluminum, and reacting the synthesis gel to form aqueous solution of germanite and silica.",DIIDW:2023D0349C,
US2025091887-A1; WO2025064335-A1,"Making aluminosilicate zeolite of BOG framework type useful as adsorbents for hydrocarbon conversion reactions, involves preparing synthesis mixture comprising water, silica, alumina, structure directing agent, hydroxide ions or fluoride ions, and source of alkali and/or earth metal element.",DIIDW:202529056U,
US2016168477-A1,"Synthesizing gasoline boiling range hydrocarbons catalytically from syngas mixture involves using single reactor containing homogenous mixture of e.g. methanol synthesis catalyst, and methanol to dimethyl ether synthesis catalyst.",DIIDW:2016368315,
WO2024153611-A1,"Use of cesium-containing beryllophosphate-Harvey-type aluminosilicate zeolite for separating carbon dioxide from fluid comprising carbon dioxide, water, and additional component.",DIIDW:2024782021,
CN114212800-A; CN114212800-B,"Preparing high-silicon Y-type zeolite useful in petroleum hydrocarbon cracking catalyst, comprises e.g. adding tetraethylammonium-Faujasite zeolite to beta zeolite synthesis mother liquor, crystallizing, mixing zeolite complex, low basicity synthetic gel and organic template agent and reacting.",DIIDW:202246767Y,
WO2022173419-A1; EP4065513-A1; CN115210181-A; EP4065513-A4; JP2023534568-W; BR112022010651-A2; KR2023143096-A; US2023348287-A1; IN202327015590-A; JP2025090604-A; JP7704746-B2; US12428305-B2,"Synthesis of small-pore zeolite used in selective catalytic reduction catalyst composition, involves mixing mixture of water, aluminum source, silicon source, and organic structure-directing agent comprising bis-quaternary ammonium cation and mono-quaternary ammonium cation, and crystallizing.",DIIDW:2022A6420X,
CN109867294-A,Copper-containing chabazite zeolite with framework atoms is useful for purifying nitrogen oxide comprises silicon and aluminum.,DIIDW:201954529F,
WO2023277189-A1; TW202310923-A; JP2023532095-X; EP4364846-A1; BR112023027872-A2; US2024326028-A1; EP4364846-A4,"Catalyst used for producing liquefied petroleum gas, comprises copper-zinc-based catalyst material, and MFI-type zeolite catalyst material that supports platinum.",DIIDW:202304313M,
WO2023277187-A1; TW202313196-A; JP2023532093-X; KR2024026463-A; CN117642227-A; EP4364844-A1; IN202417000159-A; BR112023027870-A2; US2024352365-A1; EP4364844-A4; SG11202309185-A,"Catalyst used for producing liquefied petroleum gas, comprises copper-zinc-based catalyst material, and MFI-type zeolite catalyst material that supports platinum.",DIIDW:202304311F,
WO2011001244-A1; EP2448889-A1; MX2012000175-A1; US2012157718-A1; CN102548936-A; IT1395594-B; JP2012532119-W; HK1166492-A0; EP2448889-B1; IN201200715-P4; RU2012101712-A; ES2424264-T3; US8598388-B2; HK1166492-A1; BR201011672-A2,Preparation of phenol and cyclohexanone involves synthesis of cyclohexylbenzene by the hydro-alkylation of benzene with hydrogen or alkylation of benzene with cyclohexene using Y zeolites; followed by selective aerobic oxidation.,DIIDW:2011A47984,
JP2023138071-A,"Production of zeolite catalyst for producing propylene, involves obtaining slurry containing zeolite by hydrothermal synthesis of composition containing silicon source, aluminum source and water, and contacting zeolite in slurry with alkaline earth metal.",DIIDW:2023A7127S,
CN120058452-A,Preparing methyl ethyl benzene by synthesis gas conversion and coupling ethyl benzene involves contacting raw material containing synthesis gas and ethyl benzene with combined catalyst to react.,DIIDW:202557208U,
WO2025089768-A1; KR2025059164-A,"Production of cobalt-based catalyst used for Fischer-Tropsch synthesis reaction, involves supporting cobalt precursor on catalyst carrier, drying obtained mixture, supporting cocatalyst precursor on dried mixture, mixing zeolite and inorganic binder with heat-treated mixture and calcining.",DIIDW:202545399T,
TR2021016983-A1,"Treating water and purifying e.g. microplastics in wastewater by modifying zeolite surface with 3-(aminopropyl)triethoxy silane, adding henna extract, creating column, synthesizing poly(amidoamine) dendrimer and impregnating to column.",DIIDW:202509249D,
KR2022150834-A; KR2805750-B1,"Manufacturing mobil-type five (MFI) zeolite comprises preparing synthetic mother liquor, obtaining reactant by hydrothermal reaction, preparing ammonium ion and calcining ammonium ion form zeolite to obtain hydrogen ion form zeolite.",DIIDW:2022E12889,
CN113649064-A; CN113649064-B,"Synthesizing zeolite molecular sieve loaded metal catalyst useful in hydrogenation reaction, comprises firstly pre-crystallizing silicon-aluminum gel at low temperature, and adding metal salt solution for high temperature crystallization.",DIIDW:2021D5799E,
WO2018229729-A1,"Production of gaseous hydrogen stream and synthesis gas stream used for producing methanol, involves contacting mixture of hydrocarbon with hydrocarbon decomposition catalyst under non-oxidizing conditions for producing hydrogen stream.",DIIDW:2018A21052,
US2001002991-A1; EP1106576-A1; JP2001212463-A; KR2001062071-A; CN1316301-A; IT1314263-B; SG93913-A1; EP1106576-B1; DE60002285-E; TW548135-A; US6734323-B2; CN1150061-C; JP4969722-B2; KR373898-B1,"Preparation of zeolite catalysts based on the rapid drying of an aqueous dispersion comprising crystalline zeolite, oligomeric silica and tetra-alkylammonium hydroxide.",DIIDW:2001342940,
JP2006232597-A,"Manufacture of artificial zeolite, involves adding sulfuric acid to melting reduction slag compring silica and alumina, isolating insoluble content, adding alkali metal hydroxide and performing hydrothermal synthesis.",DIIDW:2006640138,
US2001012505-A1; JP2001240411-A; EP1129767-A1; US6692640-B2; EP1129767-B1; DE60112147-E; DE60112147-T2; JP4527229-B2,"Mordenite zeolite membrane production for use as molecular sieve or catalyst, involves subjecting gel in presence of porous substrate to hydrothermal synthesis at specific temperature.",DIIDW:2001482738,
DE102015119596-A1; US2016137518-A1; WO2016077667-A1; GB2534971-A; IN201747020251-A; KR2017083606-A; CN107106978-A; EP3218103-A1; JP2018503578-W; BR112017009820-A2; GB2559432-A; RU2017120501-A; RU2732126-C2; GB2559432-B; IN377422-B; BR112017009820-B1,"Aluminosilicate-zeolite used in catalyst for forming catalyst article for e.g. storing and reducing nitrous oxide, has preset amount of pure-phase AFX scaffold, and comprises silica-alumina ratio in specified range.",DIIDW:201629376D,
CN102441414-A; CN102441414-B,"Alkylation reaction catalyst used for alkylation reaction of benzene and ethylene, comprises beta-zeolite comprising boron-containing beta-zeolite, and inorganic oxide carrier.",DIIDW:2012F95785,
DE10110521-A1,"Growth of MFI zeolite crystals on gamma-alumina particles to give composite particles for use as catalyst, e.g. for cracking, includes preparing liquid synthesis mixture, heat treating, and contacting gamma-alumina particles with mixture.",DIIDW:2002676027,
WO2024104392-A1,"Preparing aluminosilicate zeolite having an AFT framework structure, comprises providing synthesis mixture, and subjecting synthesis mixture to crystallization conditions to form aluminosilicate zeolite having AFT framework structure.",DIIDW:202452319J,
FR3127417-A1,"Preparing zeolite with structural type EMT useful as catalyst comprises carrying out synthesis of mixture in aqueous medium to obtain homogeneous mixture, ripening precursor gel and carrying out hydrothermal treatment of mixture.",DIIDW:2023322970,
ES2617037-A1; ES2617037-B1,"Revaluating residue from grinding of aluminum slag by its transformation into zeolites by hydrothermal synthesis involves adding solutions of sodium hydroxide and sodium silicate to the reactor of residue, heating and separating zeolites.",DIIDW:201748242A,
CN103920521-A; CN103920521-B,"Manufacturing natural zeolite loaded copper oxide nano-tube composite material for removing formaldehyde, comprises treating natural zeolite with hydrochloric acid, heating, drying, impregnating in e.g. copper chloride solution and glucose.",DIIDW:2014S32450,
US5965105-A; DE19827693-A1; DE19827693-B4,Synthesis of flyash based zeolite-A used as detergent builder.,DIIDW:1999600512,
WO2023199557-A1; JP2024514804-X; AU2022452727-A1; KR2025002356-A; SG11202407072-A; IN202417078878-A; EP4509489-A1; BR112024021406-A2; EP4509489-A4; US2025242339-A1,"Catalyst used for producing liquefied petroleum gas, comprises copper-zinc based catalyst material comprising copper oxide, zinc oxide, aluminum oxide, and zirconium oxide, and MFI type zeolite catalyst material comprising phosphorus and supporting platinum.",DIIDW:2023B0418M,
CN112521061-A,"Formula for high-strength environmentally-friendly composite pressed bricks, comprises e.g. stone powder, coal gangue, fly ash, expansion soil, cement, clay powder, magnesium-chromium synthesis powder, diatomite, zeolite powder and additive.",DIIDW:202134725K,
WO2025076336-A1; US2025115486-A1,"Making crystalline material of beta zeolite framework type used as adsorbent or catalyst, by preparing synthesis mixture, heating synthesis mixture under crystallization conditions, and recovering portion of crystalline material.",DIIDW:2025367020,
WO2020067177-A1; JP6756932-B1; JP2020203284-A; JP2019555047-X; CN112689535-A; EP3858477-A1; US2022040673-A1; EP3858477-A4,"Recycle of zeolite adsorbent used for pressure-swing-adsorption apparatus to e.g. adsorb carbon dioxide gas from synthesis gas, involves baking recovered zeolite adsorbent in oxygen atmosphere to produce regenerated zeolite adsorbent.",DIIDW:202025183B,
KR2020002285-A; KR2079594-B1,"Preparing SSZ-13 zeolite catalyst, comprises hydrothermally synthesizing a solution comprising SSZ-13 zeolite seed, a silica source and an alumina source to prepare SSZ-13 zeolite catalyst, and performing dealumination of zeolite catalyst.",DIIDW:2020048125,
WO2016097141-A1,Preparation of zeolite-based catalyst for preparation of propylene from methanol involves setting Bronsted acid site density of zeolite by synthesizing zeolite and converting zeolite into hydrogen-form of zeolite with solution acid.,DIIDW:201638311D,
CN108043466-A; CN108043466-B,"Preparation of zeolite imidazole ester skeleton structure composite material for catalyzing ammonia-selective catalytic reduction reaction, involves mixing e.g. solvent and soluble salt of manganese, and carrying out solvothermal synthesis.",DIIDW:2018410501,
EP2055380-A1; US2009124712-A1; BR200705939-A2; US8097555-B2,"Preparing a hybrid catalyst for Fischer-Tropsch synthesis, comprises preparing Fischer-Tropsch catalyst, and preparing bifunctional catalyst containing metal from group IVB associated with and/or metal from group VIII carried on a support.",DIIDW:2009H88769,
IN202321037911-A,"Synthesis of Adsorbent Material zeolite 4A from Natural Kutch-sourced kaolin clay, comprises kaolin clay, muffle furnace, zeolite 4A, metakaolin and sodium hydroxide solution.",DIIDW:2024030620,
WO2011040205-A1; US2012183759-A1; EP2484636-A1; CN102548900-A; JP2011534171-X; US8697760-B2; JP5662937-B2; CN102548900-B; EP2484636-B1,"Manufacture of zeolite film for e.g. permeation vaporization film, involves adhering slurry containing dispersed zeolite particles to substrate, immersing zeolite particles-adhered substrate in sol, and performing hydrothermal synthesis.",DIIDW:2011D69913,
MX421922-B,"Synthesis of slow-release bi-encapsulated nanofertilizers involves synthesizing hydroxyapatite nanoparticles, preparing zeolite, preparing zeolite and hydroxyapatite nanoparticles nanocomposite with urea, and performing encapsulation procedure with starch.",DIIDW:202543171U,
CN109928864-A; CN109928864-B,"Multifunctional composite catalyst comprises metal oxide catalyst, a multi-stage pore zeolite molecular sieve having a methanol carbonylation function, and a supported metal catalyst having hydrogenation.",DIIDW:201959055M,
CN119425767-A,"Preparing zeolite loaded metal nanocrystalline catalyst with controllable microstructure used to prepare olefin by synthesis gas, involves e.g. dissolving salt of iron, cobalt and metal doped with metal in solvent, adding surfactant and shape regulating agent, and carrying solvent thermal reaction.",DIIDW:202518245U,
US9108190-B1,"Synthesis of molecular sieves used as catalyst in e.g. petrochemical processing, involves preparing solid of solutions of dealuminated aluminosilicate zeolite beta nanocrystals, and structure directing agent/heteroatom source.",DIIDW:201547458N,
JP2007197628-A; JP4889307-B2,"Manufacture of liquid fuel involves performing shift-reaction of synthesis gas containing hydrogen and carbon- monoxide in presence of catalyst, in which beta zeolite film is formed on surface of particle-form solid.",DIIDW:2007608944,
US2019292062-A1; JP2019167289-A; JP7129362-B2; US11492264-B2,"Seed crystals of zeolite to be attached onto support used to produce zeolite membrane complex comprising support and zeolite membrane formed on support, and the strength formed from crystal component at diffraction angle.",DIIDW:201982242C,
WO2007144247-A1; EP2032239-A1; CN101489654-A; US2009200236-A1; JP2009539592-W; JP4890611-B2; US8196755-B2; CN101489654-B; EP2032239-B1,"Preparing composite-membrane, useful e.g. for the filtration of liquid e.g. ethanol/water-mixture, comprises producing MFI-type zeolites containing microporous separation layers through hydrothermal synthesis on a porous support.",DIIDW:2008A99561,
JP2020163369-A; JP7357529-B2,Preparing zeolite membrane composite involves immersing the support in a raw material solution containing organic structure defining agent and forming zeolite membrane made of six-membered ring zeolite on support by hydrothermal synthesis.,DIIDW:2020979624,
CN106518600-A; CN106518600-B,Liquid phase alkylation preparation of cyclohexylbenzene includes synthesizing benzene and cyclohexene with catalyst comprising beta-zeolite and binder.,DIIDW:2017211091,
US2014171691-A1; US9296665-B2,"Synthesizing hydrocarbons (gasoline boiling range hydrocarbons), comprises reacting alcohol (methanol or ethanol) over a mixed catalyst bed in a single reactor charged with dehydration catalyst (gamma-alumina) and zeolite catalyst (ZSM-5).",DIIDW:2014M03028,
DE102020117510-A1; US2021001285-A1; KR2021004103-A; KR2217786-B1; US11285444-B2,"Producing chabazite (CHA) zeolite separation membrane with controlled size of defects, comprises e.g. adding carrier on which CHA particle seed layer is deposited to synthesis solution for zeolite growth containing organic structure.",DIIDW:202102561F,
CN103848434-A; CN103848434-B,"Preparation of fibrous MFI-type zeolite by dissolving tetrapropyl ammonium hydroxide, tetrabutyl titanate or sodium aluminate in distilled water, adding sodium alginate and tetraethylorthosilicate, crystallizing, filtering, and calcining.",DIIDW:2014P87032,
EP999183-A1; FR2785278-A1; FR2787779-A1; JP2000143235-A; CN1259399-A; US6337063-B1; EP999183-B1; DE69908886-E; CN1155440-C; JP4595105-B2; IN9901028-I4,"Synthesis of EUO zeolites, useful e.g. as catalysts in isomerization reactions of eight carbon aromatic hydrocarbons, uses precursors of structuring agents.",DIIDW:2000453482,
EP1094050-A2; CA2323305-A1; JP2001163809-A; IT1314190-B; US2003144564-A1; EP1094050-B1; DE60008476-E; ES2215566-T3; US7019186-B2; US2006122445-A1; US7241931-B2; CA2323305-C; JP4896291-B2; EP1094050-A3,"Preparation of 2,6-dimethylnaphthalene, involves reacting naphthalene hydrocarbon with benzene hydrocarbon(s) in presence of catalyst comprising zeolite and phosphorus, silicon or boron.",DIIDW:2001443576,
JP6611295-B1; CN111249911-A; WO2020225932-A1; JP2020182919-A; FR3095813-A1; DE102020204901-A1; US2020392007-A1; TW704957-B1; US11034587-B2; TW202041273-A; KR2021148382-A; DE102020204901-B4; KR2432100-B1; FR3095813-B1; MY190742-A,"Manufacture of zeolite film involves adhering fine crystals of zeolite, preparing synthetic gel, performing hydrothermal synthesis by placing support component and synthetic gel in reactor comprising several containers and washing component.",DIIDW:2019996072,
JP2020082004-A; JP7218553-B2,"Regeneration of silver ion-supported zeolite catalyst used for e.g. organic synthesis, involves contacting used catalyst with gas atmosphere having preset oxygen content, and further contacting with atmosphere having preset oxygen content.",DIIDW:202049100X,
CN107866273-A; CN107866273-B,Cyclohexylbenzene synthesis catalyst comprises hydrogen zeolite molecular sieve carrier and active component comprising palladium and lanthanide.,DIIDW:2018271694,
